,licese_year,region,license_count,x_point,y_point,accident_year,accident_outcome,accident_count
96,2016,Makkah,136055,21.628962766,41.2636898334,2016,No. of Casualties - Injured,12383
97,2016,Makkah,136055,21.628962766,41.2636898334,2016,No. of Accidents,134838
98,2016,Makkah,136055,21.628962766,41.2636898334,2017,No. of Casualties - Injured,10623
99,2016,Makkah,136055,21.628962766,41.2636898334,2017,No. of Casualties - Dead,1641
100,2016,Makkah,136055,21.628962766,41.2636898334,2016,No. of Casualties - Dead,2243
101,2016,Makkah,136055,21.628962766,41.2636898334,2017,No. of Accidents,145541
102,1993,Makkah,65977,21.628962766,41.2636898334,2016,No. of Casualties - Injured,12383
103,1993,Makkah,65977,21.628962766,41.2636898334,2016,No. of Accidents,134838
104,1993,Makkah,65977,21.628962766,41.2636898334,2017,No. of Casualties - Injured,10623
105,1993,Makkah,65977,21.628962766,41.2636898334,2017,No. of Casualties - Dead,1641
106,1993,Makkah,65977,21.628962766,41.2636898334,2016,No. of Casualties - Dead,2243
107,1993,Makkah,65977,21.628962766,41.2636898334,2017,No. of Accidents,145541
108,1995,Makkah,60356,21.628962766,41.2636898334,2016,No. of Casualties - Injured,12383
109,1995,Makkah,60356,21.628962766,41.2636898334,2016,No. of Accidents,134838
110,1995,Makkah,60356,21.628962766,41.2636898334,2017,No. of Casualties - Injured,10623
111,1995,Makkah,60356,21.628962766,41.2636898334,2017,No. of Casualties - Dead,1641
112,1995,Makkah,60356,21.628962766,41.2636898334,2016,No. of Casualties - Dead,2243
113,1995,Makkah,60356,21.628962766,41.2636898334,2017,No. of Accidents,145541
114,2001,Makkah,85593,21.628962766,41.2636898334,2016,No. of Casualties - Injured,12383
115,2001,Makkah,85593,21.628962766,41.2636898334,2016,No. of Accidents,134838
116,2001,Makkah,85593,21.628962766,41.2636898334,2017,No. of Casualties - Injured,10623
117,2001,Makkah,85593,21.628962766,41.2636898334,2017,No. of Casualties - Dead,1641
118,2001,Makkah,85593,21.628962766,41.2636898334,2016,No. of Casualties - Dead,2243
119,2001,Makkah,85593,21.628962766,41.2636898334,2017,No. of Accidents,145541
120,2011,Makkah,110647,21.628962766,41.2636898334,2016,No. of Casualties - Injured,12383
121,2011,Makkah,110647,21.628962766,41.2636898334,2016,No. of Accidents,134838
122,2011,Makkah,110647,21.628962766,41.2636898334,2017,No. of Casualties - Injured,10623
123,2011,Makkah,110647,21.628962766,41.2636898334,2017,No. of Casualties - Dead,1641
124,2011,Makkah,110647,21.628962766,41.2636898334,2016,No. of Casualties - Dead,2243
125,2011,Makkah,110647,21.628962766,41.2636898334,2017,No. of Accidents,145541
